ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Artificial Intelligence,,FOUND
2,Machine Learning,1,FOUND
3,Deep Learning,2,FOUND
4,Neural Network,3,FOUND
5,Generative AI,4,FOUND
6,Large Language Model,5,FOUND
7,Foundation Model,6,FOUND
8,Transformer Architecture,7,FOUND
9,Attention Mechanism,8,FOUND
10,Self-Attention,8,FOUND
11,Pretraining,10,FOUND
12,Fine-Tuning,11,FOUND
13,Instruction Tuning,12,FOUND
14,RLHF Alignment,13,FOUND
15,Inference,14,FOUND
16,Training Vs Inference Cost,15,FOUND
17,Model Parameters,16,FOUND
18,Model Parameter Count,17,FOUND
19,Context Window,18,FOUND
20,Multimodal Model,18,FOUND
21,Open-Source Model,20,FOUND
22,Proprietary Model,21,FOUND
23,Model Provider,22,FOUND
24,API Endpoint,23,FOUND
25,Prompt,24,FOUND
26,System Prompt,25,FOUND
27,Prompt Engineering,25,FOUND
28,Zero-Shot Prompting,27,FOUND
29,Few-Shot Prompting,28,FOUND
30,Chain-Of-Thought Prompting,29,FOUND
31,Retrieval-Augmented Generation,30,FOUND
32,Embedding,31,FOUND
33,Vector Database,32,FOUND
34,Model Hallucination,32|33,FOUND
35,Model Latency,34,FOUND
36,Model Throughput,35,FOUND
37,Batch Inference,33|36,FOUND
38,Streaming Response,37,FOUND
39,Model Versioning,38,FOUND
40,Model Deployment,37|39,FOUND
41,On-Premises Deployment,39|40,FOUND
42,Cloud-Hosted Model,40|41,FOUND
43,Model Quantization,40|42,FOUND
44,Knowledge Distillation,43,FOUND
45,Model Right-Sizing,35|44,FOUND
46,Token,,TOKEN
47,Tokenization,46,TOKEN
48,Subword Tokenization,47,TOKEN
49,Byte Pair Encoding,46|48,TOKEN
50,Token Vocabulary,46|49,TOKEN
51,Input Token,50,TOKEN
52,Output Token,49|51,TOKEN
53,Token Count,49|51,TOKEN
54,Token Limit,50|53,TOKEN
55,Context Length,51|54,TOKEN
56,Token-To-Word Ratio,55,TOKEN
57,Tokenizer Choice,56,TOKEN
58,Token Pricing Model,55|57,TOKEN
59,Per-Token Pricing,58,TOKEN
60,Input Token Pricing,59,TOKEN
61,Output Token Pricing,59|60,TOKEN
62,Blended Token Rate,61,TOKEN
63,Prompt Caching,61,TOKEN
64,Cached Token Discount,63,TOKEN
65,Batch API Discount,64,TOKEN
66,Token Budget,65,TOKEN
67,Token Consumption Rate,66,TOKEN
68,Token Efficiency,66,TOKEN
69,Prompt Length,68,TOKEN
70,System Prompt Overhead,66|68,TOKEN
71,Few-Shot Token Overhead,70,TOKEN
72,Context Window Cost,71,TOKEN
73,Long-Context Pricing,72,TOKEN
74,Token Truncation,72,TOKEN
75,Prompt Compression,74,TOKEN
76,Prompt Summarization,75,TOKEN
77,Semantic Caching,76,TOKEN
78,Redundant Token Usage,74|76,TOKEN
79,Token Wastage,76|78,TOKEN
80,Chunking Strategy,79,TOKEN
81,Retrieval Chunk Size,79,TOKEN
82,Multi-Turn Token Growth,81,TOKEN
83,Conversation History Cost,82,TOKEN
84,Token Metering,83,TOKEN
85,Usage Dashboard,82|84,TOKEN
86,Token Rate Limit,85,TOKEN
87,Provider Rate Card,85|86,TOKEN
88,Token Cost Benchmark,84|87,TOKEN
89,Cross-Provider Comparison,84|87,TOKEN
90,Token Efficiency Score,89,TOKEN
91,Tokenizer Version Drift,89,TOKEN
92,GPU Compute,40,INFRA
93,CPU Inference,92,INFRA
94,Compute Cost,93,INFRA
95,Cloud Compute Pricing,94,INFRA
96,On-Demand Pricing,93|95,INFRA
97,Reserved Capacity Pricing,93|94|95,INFRA
98,Spot Instance Pricing,97,INFRA
99,Serverless Inference,95|98,INFRA
100,Dedicated Endpoint,95|98,INFRA
101,Multi-Tenant Endpoint,98|100,INFRA
102,Autoscaling,101,INFRA
103,Cold Start Latency,102,INFRA
104,Warm Pool,101|102,INFRA
105,Compute Utilization Rate,101|104,INFRA
106,Idle Capacity Cost,105,INFRA
107,Data Transfer Cost,106,INFRA
108,Storage Cost,107,INFRA
109,Vector Store Cost,108,INFRA
110,Network Egress Cost,109,INFRA
111,Load Balancing,110,INFRA
112,Model Serving Framework,108|111,INFRA
113,Inference Server,112,INFRA
114,Hardware Accelerator,113,INFRA
115,GPU Memory Constraint,113,INFRA
116,Batch Size Tuning,115,INFRA
117,Concurrency Limit,113|115,INFRA
118,Throughput-Latency Tradeoff,117,INFRA
119,Peak Load Provisioning,118,INFRA
120,Capacity Planning,118|119,INFRA
121,Infrastructure As Code,118|120,INFRA
122,Multi-Region Deployment,121,INFRA
123,Edge Deployment,122,INFRA
124,Hybrid Cloud Strategy,120|123,INFRA
125,Total Compute Footprint,124,INFRA
126,Carbon Cost Of Compute,125,INFRA
127,Energy Cost Per Query,123|126,INFRA
128,Infrastructure Monitoring,126|127,INFRA
129,Cost Alerting,128,INFRA
130,Budget Threshold,127|129,INFRA
131,Infrastructure Cost Dashboard,128|130,INFRA
132,Prompt Optimization,68|94,EFFIC
133,Prompt Template Design,68|94,EFFIC
134,Output Length Control,133,EFFIC
135,Max Tokens Parameter,133,EFFIC
136,Temperature Setting,135,EFFIC
137,Structured Output Format,133|136,EFFIC
138,JSON Mode Output,133|136,EFFIC
139,Function Calling,138,EFFIC
140,Tool Use Efficiency,139,EFFIC
141,Model Cascading,139|140,EFFIC
142,Model Routing,140|141,EFFIC
143,Small Model First Strategy,142,EFFIC
144,Fallback Model Strategy,142|143,EFFIC
145,Ensemble Cost Tradeoff,143|144,EFFIC
146,Response Caching,145,EFFIC
147,Deterministic Caching,144|146,EFFIC
148,Semantic Deduplication,145|147,EFFIC
149,Retrieval Optimization,148,EFFIC
150,RAG Cost Tradeoff,31|109|148,EFFIC
151,Embedding Reuse,147|150,EFFIC
152,Vector Index Tuning,150|151,EFFIC
153,Query Rewriting,151|152,EFFIC
154,Context Pruning,151|152,EFFIC
155,Context Compression,154,EFFIC
156,Summarization Preprocessing,152|155,EFFIC
157,Batch Processing Strategy,156,EFFIC
158,Asynchronous Processing,156,EFFIC
159,Off-Peak Scheduling,156|158,EFFIC
160,Prompt Reuse Library,156|158,EFFIC
161,Prompt Version Control,156|158,EFFIC
162,A/B Testing Prompts,161,EFFIC
163,Cost-Per-Task Benchmarking,162,EFFIC
164,Quality-Cost Tradeoff,163,EFFIC
165,Latency-Cost Tradeoff,162|164,EFFIC
166,Right-Sizing Review Cycle,45|162|165,EFFIC
167,Fine-Tuning Vs Prompting,12|27|166,EFFIC
168,Distillation For Cost Cutting,12|27|44|166,EFFIC
169,Quantization For Cost Cutting,43|168,EFFIC
170,Sparse Model Techniques,169,EFFIC
171,Mixture Of Experts,170,EFFIC
172,Speculative Decoding,171,EFFIC
173,KV Cache Optimization,169|172,EFFIC
174,Parallel Sampling Cost,172|173,EFFIC
175,Self-Consistency Cost,172|173,EFFIC
176,Guardrail Overhead Cost,175,EFFIC
177,Content Filtering Cost,176,EFFIC
178,Token Efficiency Audit,176|177,EFFIC
179,Continuous Cost Optimization,178,EFFIC
180,Cost Regression Testing,179,EFFIC
181,Efficiency Gain Tracking,180,EFFIC
182,Return On Investment,,FINRO
183,Total Cost Of Ownership,182,FINRO
184,Net Present Value,183,FINRO
185,Payback Period,184,FINRO
186,Internal Rate Of Return,185,FINRO
187,Cost-Benefit Analysis,185|186,FINRO
188,Capital Expenditure,187,FINRO
189,Operating Expenditure,187,FINRO
190,Sunk Cost,189,FINRO
191,Opportunity Cost,190,FINRO
192,Depreciation,190|191,FINRO
193,Amortization,190|191,FINRO
194,Discount Rate,193,FINRO
195,Time Value Of Money,194,FINRO
196,Break-Even Analysis,194|195,FINRO
197,Marginal Cost,196,FINRO
198,Fixed Cost,195|197,FINRO
199,Variable Cost,197|198,FINRO
200,Cost Allocation,197|198,FINRO
201,Cost Center,200,FINRO
202,Chargeback Model,198|201,FINRO
203,Showback Model,202,FINRO
204,Unit Economics,203,FINRO
205,Cost Per Transaction,203,FINRO
206,Cost Per User,203,FINRO
207,Cost Per Query,206,FINRO
208,Cost Avoidance,207,FINRO
209,Cost Reduction Vs Avoidance,206|208,FINRO
210,Revenue Impact,208|209,FINRO
211,Productivity Gain,207|210,FINRO
212,Labor Cost Savings,211,FINRO
213,Financial Statement Basics,211,FINRO
214,Income Statement,213,FINRO
215,Balance Sheet Basics,214,FINRO
216,Budget Cycle,214,FINRO
217,Business Case,213|216,FINRO
218,Investment Appraisal,214|217,FINRO
219,Hurdle Rate,214|217,FINRO
220,Risk-Adjusted Return,216|219,FINRO
221,Sensitivity Analysis,220,FINRO
222,Scenario Analysis,221,FINRO
223,Financial Forecasting,219|222,FINRO
224,Baseline Cost Model,223,FINRO
225,Counterfactual Cost Estimate,224,FINRO
226,Financial KPI,225,FINRO
227,GenAI ROI Metric,5|182|211,METRC
228,Adoption Rate Metric,227,METRC
229,Usage Frequency Metric,228,METRC
230,Task Completion Time,228,METRC
